項次,西元年,民國年,性別,年齡,死亡機率
347,2025,114,男性,14歲,0.00022
348,2025,114,女性,14歲,0.00014
349,2025,114,總計,15歲,0.00023
350,2025,114,男性,15歲,0.0003
351,2025,114,女性,15歲,0.00016
352,2025,114,總計,16歲,0.00028
353,2025,114,男性,16歲,0.00038
354,2025,114,女性,16歲,0.00018
355,2025,114,總計,17歲,0.00033
356,2025,114,男性,17歲,0.00045
357,2025,114,女性,17歲,0.0002
358,2025,114,總計,18歲,0.00037
359,2025,114,男性,18歲,0.00052
360,2025,114,女性,18歲,0.00023
361,2025,114,總計,19歲,0.0004
362,2025,114,男性,19歲,0.00055
363,2025,114,女性,19歲,0.00024
364,2025,114,總計,20歲,0.00041
365,2025,114,男性,20歲,0.00057
366,2025,114,女性,20歲,0.00026
367,2025,114,總計,21歲,0.00043
368,2025,114,男性,21歲,0.00058
369,2025,114,女性,21歲,0.00027
370,2025,114,總計,22歲,0.00043
371,2025,114,男性,22歲,0.00059
372,2025,114,女性,22歲,0.00028
373,2025,114,總計,23歲,0.00044
374,2025,114,男性,23歲,0.0006
375,2025,114,女性,23歲,0.00029
376,2025,114,總計,24歲,0.00044
377,2025,114,男性,24歲,0.00059
378,2025,114,女性,24歲,0.0003
379,2025,114,總計,25歲,0.00044
380,2025,114,男性,25歲,0.00058
381,2025,114,女性,25歲,0.0003
382,2025,114,總計,26歲,0.00045
383,2025,114,男性,26歲,0.00058
384,2025,114,女性,26歲,0.00031
385,2025,114,總計,27歲,0.00046
386,2025,114,男性,27歲,0.00059
387,2025,114,女性,27歲,0.00033
388,2025,114,總計,28歲,0.00048
389,2025,114,男性,28歲,0.00062
390,2025,114,女性,28歲,0.00034
391,2025,114,總計,29歲,0.00051
392,2025,114,男性,29歲,0.00067
393,2025,114,女性,29歲,0.00036
394,2025,114,總計,30歲,0.00055
395,2025,114,男性,30歲,0.00073
396,2025,114,女性,30歲,0.00038
397,2025,114,總計,31歲,0.0006
398,2025,114,男性,31歲,0.0008
399,2025,114,女性,31歲,0.00041
400,2025,114,總計,32歲,0.00066
401,2025,114,男性,32歲,0.00088
402,2025,114,女性,32歲,0.00044
403,2025,114,總計,33歲,0.00072
404,2025,114,男性,33歲,0.00096
405,2025,114,女性,33歲,0.00047
406,2025,114,總計,34歲,0.00078
407,2025,114,男性,34歲,0.00106
408,2025,114,女性,34歲,0.00051
409,2025,114,總計,35歲,0.00086
410,2025,114,男性,35歲,0.00117
411,2025,114,女性,35歲,0.00055
412,2025,114,總計,36歲,0.00094
413,2025,114,男性,36歲,0.0013
414,2025,114,女性,36歲,0.00059
415,2025,114,總計,37歲,0.00104
416,2025,114,男性,37歲,0.00145
417,2025,114,女性,37歲,0.00064
418,2025,114,總計,38歲,0.00115
419,2025,114,男性,38歲,0.00161
420,2025,114,女性,38歲,0.0007
421,2025,114,總計,39歲,0.00128
422,2025,114,男性,39歲,0.00179
423,2025,114,女性,39歲,0.00076
424,2025,114,總計,40歲,0.00141
425,2025,114,男性,40歲,0.00199
426,2025,114,女性,40歲,0.00083
427,2025,114,總計,41歲,0.00156
428,2025,114,男性,41歲,0.00222
429,2025,114,女性,41歲,0.0009
430,2025,114,總計,42歲,0.00172
431,2025,114,男性,42歲,0.00246
432,2025,114,女性,42歲,0.00098
433,2025,114,總計,43歲,0.0019
434,2025,114,男性,43歲,0.00273
435,2025,114,女性,43歲,0.00108
436,2025,114,總計,44歲,0.0021
437,2025,114,男性,44歲,0.00302
438,2025,114,女性,44歲,0.00119
439,2025,114,總計,45歲,0.0023
440,2025,114,男性,45歲,0.00333
441,2025,114,女性,45歲,0.00129
442,2025,114,總計,46歲,0.00253
443,2025,114,男性,46歲,0.00365
444,2025,114,女性,46歲,0.00143
445,2025,114,總計,47歲,0.00274
446,2025,114,男性,47歲,0.00398
447,2025,114,女性,47歲,0.00154
448,2025,114,總計,48歲,0.00298
449,2025,114,男性,48歲,0.00432
450,2025,114,女性,48歲,0.00167
451,2025,114,總計,49歲,0.00323
452,2025,114,男性,49歲,0.00469
453,2025,114,女性,49歲,0.00182
454,2025,114,總計,50歲,0.0035
455,2025,114,男性,50歲,0.00508
456,2025,114,女性,50歲,0.00198
457,2025,114,總計,51歲,0.0038
458,2025,114,男性,51歲,0.0055
459,2025,114,女性,51歲,0.00216
460,2025,114,總計,52歲,0.0041
461,2025,114,男性,52歲,0.00594
462,2025,114,女性,52歲,0.00232
463,2025,114,總計,53歲,0.00441
464,2025,114,男性,53歲,0.00639
465,2025,114,女性,53歲,0.0025
466,2025,114,總計,54歲,0.0047
467,2025,114,男性,54歲,0.00681
468,2025,114,女性,54歲,0.00268
469,2025,114,總計,55歲,0.00499
470,2025,114,男性,55歲,0.00725
471,2025,114,女性,55歲,0.00284
472,2025,114,總計,56歲,0.0053
473,2025,114,男性,56歲,0.00771
474,2025,114,女性,56歲,0.00301
475,2025,114,總計,57歲,0.00568
476,2025,114,男性,57歲,0.00823
477,2025,114,女性,57歲,0.00327
478,2025,114,總計,58歲,0.00606
479,2025,114,男性,58歲,0.00877
480,2025,114,女性,58歲,0.00352
481,2025,114,總計,59歲,0.00647
482,2025,114,男性,59歲,0.00934
483,2025,114,女性,59歲,0.00379
484,2025,114,總計,60歲,0.00689
485,2025,114,男性,60歲,0.00994
486,2025,114,女性,60歲,0.00407
487,2025,114,總計,61歲,0.00735
488,2025,114,男性,61歲,0.01056
489,2025,114,女性,61歲,0.0044
490,2025,114,總計,62歲,0.00787
491,2025,114,男性,62歲,0.01126
492,2025,114,女性,62歲,0.00477
493,2025,114,總計,63歲,0.0085
494,2025,114,男性,63歲,0.01207
495,2025,114,女性,63歲,0.00524
496,2025,114,總計,64歲,0.00917
497,2025,114,男性,64歲,0.01298
498,2025,114,女性,64歲,0.00572
499,2025,114,總計,65歲,0.00994
500,2025,114,男性,65歲,0.014
501,2025,114,女性,65歲,0.0063
502,2025,114,總計,66歲,0.01084
503,2025,114,男性,66歲,0.01517
504,2025,114,女性,66歲,0.00697
505,2025,114,總計,67歲,0.01186
506,2025,114,男性,67歲,0.01651
507,2025,114,女性,67歲,0.00776
508,2025,114,總計,68歲,0.01302
