年份,鄉鎮市區碼,區域名稱,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,腹膜透析床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床
104年,3111,汐止區,1,628,465,163,25,465,0,440,25,0,0,0,0,0,39,0,12,31,6,13,0,0,,0,10,16,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3112,瑞芳區,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,3,2,0,0,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3113,土城區,4,346,148,198,0,148,0,148,0,0,0,0,0,0,8,0,0,4,1,0,168,0,,0,2,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3114,蘆洲區,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,3,1,0,17,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3121,三芝區,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3123,八里區,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
104年,3127,金山區,1,68,48,20,0,48,0,48,0,0,0,0,0,0,0,0,0,5,0,2,0,0,,0,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
105年,101,松山區,5,1301,848,453,153,745,103,695,50,0,103,0,0,0,54,0,33,51,0,0,84,0,,0,16,67,138,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,
105年,102,大安區,5,1402,1013,389,0,1013,0,1013,0,0,0,0,0,0,62,0,23,63,0,0,37,8,,0,19,52,119,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
105年,109,大同區,1,3065,2259,806,498,2126,133,1761,365,0,133,0,0,0,170,0,35,80,11,16,179,12,,12,26,50,169,0.0,13.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,,
105年,110,中山區,4,1278,824,454,0,804,20,804,0,20,0,0,0,0,100,0,55,39,0,0,90,0,,0,12,71,48,8.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,
105年,111,內湖區,3,2167,1574,593,118,1574,0,1456,118,0,0,0,0,0,128,8,46,42,2,15,112,24,,0,40,46,106,3.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,,
105年,115,士林區,1,832,543,289,25,543,0,518,25,0,0,0,0,0,62,0,21,40,0,8,0,8,,0,15,25,105,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
105年,116,北投區,6,5105,4132,973,680,3848,284,3385,463,67,217,0,0,0,311,14,41,97,6,34,32,28,,0,54,39,150,12.0,90.0,33.0,21.0,11.0,0.0,0.0,0.0,0.0,,
105年,117,信義區,2,828,545,283,25,545,0,520,25,0,0,0,0,0,58,0,17,25,0,20,72,0,,0,12,15,60,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
105年,118,中正區,3,2673,1891,782,68,1891,0,1823,68,0,0,0,0,0,260,10,48,122,0,17,0,15,,0,56,20,70,4.0,94.0,1.0,51.0,14.0,0.0,0.0,0.0,0.0,,
105年,119,萬華區,4,439,248,191,0,169,79,169,0,79,0,0,0,0,8,0,0,10,8,0,30,0,,0,4,3,127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
105年,120,文山區,2,861,592,269,38,592,0,554,38,0,0,0,0,0,47,4,10,29,6,10,60,10,,0,12,15,54,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,
105年,3101,板橋區,7,1821,974,847,28,974,0,946,28,0,0,0,0,0,117,12,20,51,75,15,200,46,,0,25,40,216,0.0,18.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,,
105年,3102,三重區,4,694,338,356,0,338,0,338,0,0,0,0,0,0,48,2,0,20,4,0,148,0,,0,10,3,101,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,,
