git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,男,新北市,其他男性生殖器官,0.57,17 ,70.41,69.0,0.87
2018,男,新北市,膀胱,8.99,268 ,69.85,69.0,13.71
2018,男,新北市,腎,7.35,212 ,59.43,59.0,10.84
2018,男,新北市,腎盂及其他泌尿系統,2.76,82 ,66.98,67.0,4.19
2018,男,新北市,眼及淚腺,0.38,5 ,24.6,2.0,0.26
2018,男,新北市,腦,2.86,76 ,57.46,63.0,3.89
2018,男,新北市,其他神經系統,0.26,7 ,63.86,61.0,0.36
2018,男,新北市,甲狀腺,8.24,209 ,47.48,47.0,10.69
2018,男,新北市,其他內分泌腺,0.81,16 ,39.13,40.5,0.82
2018,男,新北市,其他分界不明的部位,0.43,12 ,57.25,60.0,0.61
2018,男,新北市,不明原發部位,2.05,60 ,65.82,66.0,3.07
2018,男,新北市,何杰金氏淋巴瘤,1.22,22 ,38.86,34.0,1.13
2018,男,新北市,白血病,10.46,257 ,58.65,63.0,13.15
2018,男,新北市,非何杰金氏淋巴瘤,10.08,284 ,61.59,62.0,14.53
2018,男,新北市,漿細胞瘤,2.07,60 ,66.93,68.5,3.07
2018,男,新北市,全癌症,352.01,"10,263 ",63.65,64.0,524.97
2018,女,台北市,口腔、口咽及下咽,3.16,78 ,63.63,64.5,5.59
2018,女,台北市,主唾液腺,0.62,14 ,59.93,60.0,1.0
2018,女,台北市,鼻咽,1.82,36 ,51.86,51.0,2.58
2018,女,台北市,食道,0.99,26 ,67.92,68.0,1.86
2018,女,台北市,胃,8.48,241 ,70.34,70.0,17.27
2018,女,台北市,小腸,0.74,19 ,64.26,62.0,1.36
2018,女,台北市,結直腸,31.11,864 ,69.02,69.0,61.93
2018,女,台北市,肝及肝內膽管,10.91,314 ,72.0,73.0,22.51
2018,女,台北市,膽囊及肝外膽管,2.4,71 ,72.15,74.0,5.09
2018,女,台北市,胰,6.56,185 ,71.44,72.0,13.26
2018,女,台北市,後腹膜腔及腹膜,1.59,41 ,66.1,65.0,2.94
2018,女,台北市,鼻腔、中耳及副鼻竇,0.29,5 ,43.6,43.0,0.36
2018,女,台北市,喉,0.13,3 ,63.0,58.0,0.22
2018,女,台北市,肺、支氣管及氣管,38.78,"1,017 ",65.5,65.0,72.89
2018,女,台北市,胸膜,0.08,2 ,67.0,67.0,0.14
2018,女,台北市,胸腺、心臟與中隔,2.15,39 ,52.44,55.0,2.8
2018,女,台北市,骨、關節及關節軟骨,0.69,10 ,47.0,47.5,0.72
2018,女,台北市,結締組織、皮下組織及其他軟組織,1.73,41 ,60.76,58.0,2.94
2018,女,台北市,皮膚,5.47,162 ,72.56,74.0,11.61
2018,女,台北市,女性乳房,97.19,"2,179 ",57.67,57.0,156.18
2018,女,台北市,子宮頸,6.94,159 ,58.96,57.0,11.4
2018,女,台北市,子宮體,17.94,403 ,57.17,56.0,28.88
