diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1981年,女,台北市,子宮體,4.99,35,57.94,57.0,3.18
1981年,女,台北市,卵巢、輸卵管及寬韌帶,5.16,40,50.68,54.5,3.64
1981年,女,台北市,其他女性生殖器官,1.45,9,62.33,68.0,0.82
1981年,女,台北市,膀胱,3.75,21,68.1,73.0,1.91
1981年,女,台北市,腎,1.01,8,39.25,52.5,0.73
1981年,女,台北市,腎盂及其他泌尿系統,1.42,8,70.88,73.5,0.73
1981年,女,台北市,眼及淚腺,0.3,3,31.67,29.0,0.27
1981年,女,台北市,腦,1.94,15,51.33,50.0,1.36
1981年,女,台北市,其他神經系統,0.21,2,25.0,25.0,0.18
1981年,女,台北市,甲狀腺,3.11,28,42.54,42.0,2.55
1981年,女,台北市,其他內分泌腺,0.15,2,20.5,20.5,0.18
1981年,女,台北市,其他分界不明的部位,1.18,10,39.7,30.0,0.91
1981年,女,台北市,不明原發部位,1.79,13,53.62,51.0,1.18
1981年,女,台北市,何杰金氏淋巴瘤,0.54,5,44.4,38.0,0.45
1981年,女,台北市,白血病,3.69,34,36.65,32.5,3.09
1981年,女,台北市,非何杰金氏淋巴瘤,0.75,6,34.83,28.0,0.55
1981年,女,台北市,漿細胞瘤,0.18,1,72.0,72.0,0.09
1981年,女,台北市,全癌症,173.53,1291,53.26,55.0,117.39
1982年,男,台北市,口腔、口咽及下咽,2.27,20,61.45,60.0,1.67
1982年,男,台北市,主唾液腺,0.62,5,39.8,35.0,0.42
1982年,男,台北市,鼻咽,4.31,39,52.13,53.0,3.26
1982年,男,台北市,食道,2.7,23,62.52,65.0,1.92
1982年,男,台北市,胃,11.29,99,60.77,62.0,8.27
1982年,男,台北市,小腸,0.09,1,53.0,53.0,0.08
1982年,男,台北市,結直腸,8.44,71,60.14,64.0,5.93
1982年,男,台北市,肝及肝內膽管,7.06,71,54.49,56.0,5.93
1982年,男,台北市,膽囊及肝外膽管,0.86,8,65.25,64.5,0.67
1982年,男,台北市,胰,1.34,13,58.31,62.0,1.09
1982年,男,台北市,鼻腔、中耳及副鼻竇,0.08,1,64.0,64.0,0.08
1982年,男,台北市,喉,2.59,24,62.54,61.0,2.0
1982年,男,台北市,肺、支氣管及氣管,13.05,116,64.19,63.0,9.69
1982年,男,台北市,胸膜,0.08,1,63.0,63.0,0.08
1982年,男,台北市,胸腺、心臟與中隔,0.23,3,45.0,59.0,0.25
1982年,男,台北市,骨、關節及關節軟骨,0.46,6,31.0,19.0,0.5
1982年,男,台北市,結締組織、皮下組織及其他軟組織,1.12,3,80.67,86.0,0.25
1982年,男,台北市,皮膚,1.5,13,59.54,58.0,1.09
1982年,男,台北市,男性乳房,0.17,2,64.0,64.0,0.17
1982年,男,台北市,攝護腺,1.52,14,64.36,62.0,1.17
1982年,男,台北市,睪丸,0.24,3,20.0,0.0,0.25
1982年,男,台北市,其他男性生殖器官,0.09,1,54.0,54.0,0.08
1982年,男,台北市,膀胱,4.59,40,62.93,62.0,3.34
1982年,男,台北市,腎,1.32,13,53.15,53.0,1.09
1982年,男,台北市,腎盂及其他泌尿系統,0.49,5,59.6,64.0,0.42
1982年,男,台北市,腦,0.89,10,42.2,40.5,0.84
1982年,男,台北市,其他神經系統,0.22,2,55.5,55.5,0.17
1982年,男,台北市,甲狀腺,0.72,8,39.75,35.5,0.67
1982年,男,台北市,其他內分泌腺,0.25,3,19.33,3.0,0.25
1982年,男,台北市,其他分界不明的部位,0.22,2,50.0,50.0,0.17
1982年,男,台北市,不明原發部位,0.37,3,60.0,54.0,0.25
1982年,男,台北市,何杰金氏淋巴瘤,0.24,3,31.33,31.0,0.25
1982年,男,台北市,白血病,1.74,20,27.85,19.0,1.67
1982年,男,台北市,非何杰金氏淋巴瘤,0.61,4,62.0,66.0,0.33
1982年,男,台北市,漿細胞瘤,0.21,2,67.0,67.0,0.17
1982年,男,台北市,全癌症,73.17,665,57.55,60.0,55.53
1982年,女,台北市,口腔、口咽及下咽,0.13,1,60.0,60.0,0.09
1982年,女,台北市,主唾液腺,0.1,1,39.0,39.0,0.09
1982年,女,台北市,鼻咽,2.07,20,41.0,43.0,1.77
1982年,女,台北市,食道,0.25,2,53.0,53.0,0.18
1982年,女,台北市,胃,3.65,26,58.46,57.5,2.3
1982年,女,台北市,小腸,0.11,1,43.0,43.0,0.09
1982年,女,台北市,結直腸,8.36,61,57.77,58.0,5.4
1982年,女,台北市,肝及肝內膽管,2.27,18,50.33,55.0,1.59
1982年,女,台北市,膽囊及肝外膽管,0.85,6,62.83,65.5,0.53
1982年,女,台北市,胰,0.26,2,56.5,56.5,0.18
1982年,女,台北市,後腹膜腔及腹膜,0.34,3,33.67,50.0,0.27
1982年,女,台北市,消化器官其他分界不明部位,0.07,1,33.0,33.0,0.09
1982年,女,台北市,鼻腔、中耳及副鼻竇,0.31,4,32.0,26.0,0.35
1982年,女,台北市,喉,0.59,4,66.0,68.5,0.35
1982年,女,台北市,肺、支氣管及氣管,5.26,38,60.29,62.0,3.36
1982年,女,台北市,胸腺、心臟與中隔,0.39,3,56.67,59.0,0.27
1982年,女,台北市,骨、關節及關節軟骨,0.26,2,47.5,47.5,0.18
1982年,女,台北市,結締組織、皮下組織及其他軟組織,0.37,4,41.25,36.5,0.35
1982年,女,台北市,皮膚,1.05,8,55.5,57.5,0.71
1982年,女,台北市,女性乳房,13.08,113,47.79,47.0,10.0
1982年,女,台北市,子宮,0.26,3,32.0,30.0,0.27
1982年,女,台北市,子宮頸,21.35,164,54.82,54.5,14.51
1982年,女,台北市,子宮體,1.34,10,59.4,57.0,0.88
1982年,女,台北市,卵巢、輸卵管及寬韌帶,1.99,16,51.81,54.0,1.42
1982年,女,台北市,其他女性生殖器官,0.56,5,47.6,60.0,0.44
1982年,女,台北市,膀胱,1.7,12,61.75,66.5,1.06
1982年,女,台北市,腎,0.71,5,55.8,71.0,0.44
1982年,女,台北市,腎盂及其他泌尿系統,0.45,3,66.33,65.0,0.27
1982年,女,台北市,眼及淚腺,0.22,2,33.0,33.0,0.18
1982年,女,台北市,腦,0.89,9,32.11,26.0,0.8
1982年,女,台北市,甲狀腺,2.04,21,40.52,35.0,1.86
1982年,女,台北市,其他內分泌腺,0.07,1,31.0,31.0,0.09
1982年,女,台北市,其他分界不明的部位,0.08,1,0.0,0.0,0.09
1982年,女,台北市,不明原發部位,0.13,1,62.0,62.0,0.09
1982年,女,台北市,白血病,0.46,4,33.25,29.5,0.35
1982年,女,台北市,非何杰金氏淋巴瘤,0.51,4,53.5,52.5,0.35
1982年,女,台北市,全癌症,73.41,586,52.15,53.0,51.86
1983年,男,台北市,口腔、口咽及下咽,5.21,51,54.47,53.0,4.16
1983年,男,台北市,主唾液腺,0.89,9,59.78,64.0,0.73
1983年,男,台北市,鼻咽,8.58,90,47.83,48.5,7.34
1983年,男,台北市,食道,8.11,70,64.21,64.5,5.71
1983年,男,台北市,胃,72.99,665,61.7,63.0,54.26
1983年,男,台北市,小腸,0.48,5,53.4,58.0,0.41
1983年,男,台北市,結直腸,23.49,216,60.13,62.0,17.62
1983年,男,台北市,肝及肝內膽管,31.72,314,55.76,57.0,25.62
1983年,男,台北市,膽囊及肝外膽管,1.8,13,59.38,56.0,1.06
1983年,男,台北市,胰,4.8,42,62.5,65.0,3.43
1983年,男,台北市,後腹膜腔及腹膜,0.37,4,45.0,48.0,0.33
1983年,男,台北市,消化器官其他分界不明部位,0.46,1,92.0,92.0,0.08
1983年,男,台北市,鼻腔、中耳及副鼻竇,1.3,13,62.38,64.0,1.06
1983年,男,台北市,喉,4.39,42,63.71,62.0,3.43
1983年,男,台北市,肺、支氣管及氣管,34.53,306,63.54,64.0,24.97
1983年,男,台北市,胸膜,0.11,1,68.0,68.0,0.08
1983年,男,台北市,胸腺、心臟與中隔,0.29,2,72.5,72.5,0.16
1983年,男,台北市,骨、關節及關節軟骨,0.77,9,29.89,23.0,0.73
1983年,男,台北市,結締組織、皮下組織及其他軟組織,1.61,18,46.39,52.5,1.47
1983年,男,台北市,皮膚,5.36,52,54.31,54.0,4.24
1983年,男,台北市,男性乳房,0.33,4,55.0,55.5,0.33
1983年,男,台北市,攝護腺,6.6,44,70.36,71.0,3.59
1983年,男,台北市,睪丸,0.81,11,19.91,27.0,0.9
1983年,男,台北市,其他男性生殖器官,0.56,6,50.83,52.0,0.49
1983年,男,台北市,膀胱,7.89,64,64.08,66.0,5.22
1983年,男,台北市,腎,1.4,15,49.73,57.0,1.22
1983年,男,台北市,腎盂及其他泌尿系統,1.49,15,59.13,66.0,1.22
1983年,男,台北市,眼及淚腺,0.08,1,2.0,2.0,0.08
1983年,男,台北市,腦,2.38,29,31.28,33.0,2.37
1983年,男,台北市,其他神經系統,0.17,2,38.0,38.0,0.16
1983年,男,台北市,甲狀腺,0.84,9,50.78,54.0,0.73
1983年,男,台北市,其他分界不明的部位,0.66,7,58.14,58.0,0.57
1983年,男,台北市,不明原發部位,0.71,6,65.33,62.5,0.49
1983年,男,台北市,何杰金氏淋巴瘤,0.73,8,34.38,41.0,0.65
1983年,男,台北市,白血病,3.35,37,35.0,39.0,3.02
1983年,男,台北市,非何杰金氏淋巴瘤,1.04,9,55.44,55.0,0.73
1983年,男,台北市,漿細胞瘤,0.53,6,60.83,60.0,0.49
1983年,男,台北市,全癌症,239.87,2232,58.38,61.0,182.1
1983年,女,台北市,口腔、口咽及下咽,1.87,16,52.31,54.0,1.38
1983年,女,台北市,主唾液腺,0.36,3,55.0,65.0,0.26
1983年,女,台北市,鼻咽,4.41,43,44.56,45.0,3.7
1983年,女,台北市,食道,2.25,14,70.5,75.0,1.2
1983年,女,台北市,胃,38.8,293,57.75,60.0,25.2
1983年,女,台北市,小腸,0.72,5,65.2,68.0,0.43
1983年,女,台北市,結直腸,21.4,162,58.31,60.0,13.93
1983年,女,台北市,肝及肝內膽管,8.08,59,60.32,60.0,5.07
1983年,女,台北市,膽囊及肝外膽管,1.5,12,53.5,56.5,1.03
1983年,女,台北市,胰,2.54,19,56.74,58.0,1.63
1983年,女,台北市,後腹膜腔及腹膜,0.37,4,19.0,6.5,0.34
1983年,女,台北市,消化器官其他分界不明部位,0.69,4,74.75,75.0,0.34
1983年,女,台北市,鼻腔、中耳及副鼻竇,1.02,9,48.0,58.0,0.77
1983年,女,台北市,喉,0.13,1,61.0,61.0,0.09
1983年,女,台北市,肺、支氣管及氣管,16.22,112,62.83,64.5,9.63
1983年,女,台北市,胸膜,0.36,2,74.0,74.0,0.17
1983年,女,台北市,胸腺、心臟與中隔,0.85,7,47.0,60.0,0.6
1983年,女,台北市,骨、關節及關節軟骨,0.63,5,53.2,68.0,0.43
1983年,女,台北市,結締組織、皮下組織及其他軟組織,1.0,9,50.67,55.0,0.77
1983年,女,台北市,皮膚,2.7,22,55.05,55.0,1.89
1983年,女,台北市,女性乳房,28.31,241,50.84,51.0,20.73
1983年,女,台北市,子宮,0.61,4,64.5,63.0,0.34
1983年,女,台北市,子宮頸,33.91,280,53.01,53.0,24.08
1983年,女,台北市,子宮體,3.94,32,53.53,53.0,2.75
1983年,女,台北市,卵巢、輸卵管及寬韌帶,4.01,34,51.21,51.5,2.92
1983年,女,台北市,其他女性生殖器官,1.17,8,61.0,67.5,0.69
1983年,女,台北市,膀胱,3.01,18,72.22,71.5,1.55
1983年,女,台北市,腎,1.27,10,50.4,53.5,0.86
1983年,女,台北市,腎盂及其他泌尿系統,0.68,5,62.0,61.0,0.43
1983年,女,台北市,眼及淚腺,0.41,4,26.75,23.5,0.34
1983年,女,台北市,腦,1.86,16,42.19,50.0,1.38
1983年,女,台北市,其他神經系統,0.46,4,48.25,57.0,0.34
1983年,女,台北市,甲狀腺,3.35,32,42.91,36.5,2.75
1983年,女,台北市,其他內分泌腺,0.1,1,42.0,42.0,0.09
1983年,女,台北市,其他分界不明的部位,0.61,5,54.4,62.0,0.43
1983年,女,台北市,不明原發部位,0.88,7,50.0,50.0,0.6
1983年,女,台北市,白血病,2.17,23,29.7,22.0,1.98
1983年,女,台北市,非何杰金氏淋巴瘤,1.07,9,51.67,51.0,0.77
1983年,女,台北市,漿細胞瘤,0.67,5,61.4,60.0,0.43
