diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
2011年,女,台北市,胃,9.41,211,67.8,70.0,15.35
2011年,女,台北市,小腸,0.88,19,61.79,63.0,1.38
2011年,女,台北市,結直腸,38.64,869,66.78,67.0,63.22
2011年,女,台北市,肝及肝內膽管,15.23,338,69.88,71.0,24.59
2011年,女,台北市,膽囊及肝外膽管,2.32,55,70.0,68.0,4.0
2011年,女,台北市,胰,6.37,140,69.19,70.0,10.18
2011年,女,台北市,後腹膜腔及腹膜,1.04,14,42.93,42.5,1.02
2011年,女,台北市,消化器官其他分界不明部位,0.04,1,60.0,60.0,0.07
2011年,女,台北市,鼻腔、中耳及副鼻竇,0.24,4,42.75,43.5,0.29
2011年,女,台北市,喉,0.24,5,70.8,65.0,0.36
2011年,女,台北市,肺、支氣管及氣管,26.9,591,65.88,67.0,42.99
2011年,女,台北市,胸膜,0.13,2,44.0,44.0,0.15
2011年,女,台北市,胸腺、心臟與中隔,0.82,17,57.71,56.0,1.24
2011年,女,台北市,骨、關節及關節軟骨,0.74,9,36.56,30.0,0.65
2011年,女,台北市,結締組織、皮下組織及其他軟組織,1.6,30,55.53,54.5,2.18
2011年,女,台北市,皮膚,5.5,124,68.41,71.0,9.02
2011年,女,台北市,女性乳房,78.1,1593,55.83,54.0,115.89
2011年,女,台北市,子宮,0.05,1,71.0,71.0,0.07
2011年,女,台北市,子宮頸,9.17,189,58.4,56.0,13.75
2011年,女,台北市,子宮體,12.47,257,56.06,57.0,18.7
2011年,女,台北市,卵巢、輸卵管及寬韌帶,10.56,203,53.8,53.0,14.77
2011年,女,台北市,其他女性生殖器官,0.96,22,66.05,67.0,1.6
2011年,女,台北市,膀胱,3.33,79,72.25,74.0,5.75
2011年,女,台北市,腎,2.42,51,65.12,68.0,3.71
2011年,女,台北市,腎盂及其他泌尿系統,3.72,87,71.59,72.0,6.33
2011年,女,台北市,眼及淚腺,0.22,2,17.0,17.0,0.15
2011年,女,台北市,腦,2.88,48,53.73,58.0,3.49
2011年,女,台北市,其他神經系統,0.49,6,32.33,41.0,0.44
2011年,女,台北市,甲狀腺,17.04,309,49.61,48.0,22.48
2011年,女,台北市,其他內分泌腺,0.44,7,49.43,51.0,0.51
2011年,女,台北市,不明原發部位,1.96,47,72.43,75.0,3.42
2011年,女,台北市,何杰金氏淋巴瘤,0.92,11,30.0,32.0,0.8
2011年,女,台北市,白血病,6.08,101,54.07,60.0,7.35
2011年,女,台北市,非何杰金氏淋巴瘤,7.48,158,64.34,66.0,11.49
2011年,女,台北市,漿細胞瘤,1.82,40,67.58,70.5,2.91
2011年,女,台北市,全癌症,277.75,5788,61.05,60.0,421.06
2012年,男,台北市,口腔、口咽及下咽,21.91,401,56.49,56.0,31.2
2012年,男,台北市,主唾液腺,0.7,13,59.38,55.0,1.01
2012年,男,台北市,鼻咽,7.26,127,52.59,52.0,9.88
2012年,男,台北市,食道,8.16,162,63.07,61.0,12.6
2012年,男,台北市,胃,14.61,319,71.73,74.0,24.82
2012年,男,台北市,小腸,1.17,22,63.45,63.5,1.71
2012年,男,台北市,結直腸,54.75,1105,67.53,68.0,85.97
2012年,男,台北市,肝及肝內膽管,35.42,691,64.34,63.0,53.76
2012年,男,台北市,膽囊及肝外膽管,2.87,62,72.74,72.5,4.82
2012年,男,台北市,胰,6.97,144,68.54,71.0,11.2
2012年,男,台北市,後腹膜腔及腹膜,0.79,13,54.38,61.0,1.01
2012年,男,台北市,消化器官其他分界不明部位,0.11,2,76.5,76.5,0.16
2012年,男,台北市,鼻腔、中耳及副鼻竇,1.18,20,50.75,47.5,1.56
2012年,男,台北市,喉,2.81,55,65.49,64.0,4.28
2012年,男,台北市,肺、支氣管及氣管,38.53,813,71.12,72.0,63.25
2012年,男,台北市,胸膜,0.18,4,70.75,70.5,0.31
2012年,男,台北市,胸腺、心臟與中隔,1.35,20,49.8,58.0,1.56
2012年,男,台北市,骨、關節及關節軟骨,0.68,11,49.82,46.0,0.86
2012年,男,台北市,結締組織、皮下組織及其他軟組織,2.26,40,56.88,57.0,3.11
2012年,男,台北市,皮膚,9.82,204,67.99,68.0,15.87
2012年,男,台北市,男性乳房,0.02,1,94.0,94.0,0.08
2012年,男,台北市,攝護腺,35.73,752,73.58,74.0,58.5
2012年,男,台北市,睪丸,2.24,26,30.31,28.0,2.02
2012年,男,台北市,其他男性生殖器官,0.73,16,65.88,62.0,1.24
2012年,男,台北市,膀胱,8.24,176,72.47,75.0,13.69
2012年,男,台北市,腎,7.3,140,63.07,63.0,10.89
2012年,男,台北市,腎盂及其他泌尿系統,3.41,69,69.99,72.0,5.37
2012年,男,台北市,眼及淚腺,0.24,3,43.33,55.0,0.23
2012年,男,台北市,腦,3.43,51,48.24,51.0,3.97
2012年,男,台北市,其他神經系統,0.2,3,50.0,46.0,0.23
2012年,男,台北市,甲狀腺,7.76,128,52.32,51.0,9.96
2012年,男,台北市,其他內分泌腺,0.52,6,41.67,40.0,0.47
2012年,男,台北市,不明原發部位,2.6,57,72.11,74.0,4.43
2012年,男,台北市,何杰金氏淋巴瘤,1.18,16,45.13,40.0,1.24
2012年,男,台北市,白血病,9.01,159,62.41,69.0,12.37
2012年,男,台北市,非何杰金氏淋巴瘤,9.71,186,63.57,63.5,14.47
2012年,男,台北市,漿細胞瘤,1.84,36,68.31,70.0,2.8
2012年,男,台北市,全癌症,306.72,6070,66.35,67.0,472.24
2012年,女,台北市,口腔、口咽及下咽,3.33,77,65.68,64.0,5.55
2012年,女,台北市,主唾液腺,0.6,13,60.54,62.0,0.94
2012年,女,台北市,鼻咽,1.89,37,51.78,50.0,2.67
2012年,女,台北市,食道,0.81,19,64.68,63.0,1.37
2012年,女,台北市,胃,8.8,213,70.2,73.0,15.35
2012年,女,台北市,小腸,1.05,24,65.83,66.0,1.73
2012年,女,台北市,結直腸,37.27,862,67.17,68.0,62.11
2012年,女,台北市,肝及肝內膽管,12.97,294,68.74,70.0,21.18
2012年,女,台北市,膽囊及肝外膽管,2.38,56,69.88,70.5,4.03
2012年,女,台北市,胰,5.57,130,69.3,71.5,9.37
2012年,女,台北市,後腹膜腔及腹膜,0.6,11,53.0,55.0,0.79
2012年,女,台北市,消化器官其他分界不明部位,0.26,6,76.17,75.0,0.43
2012年,女,台北市,鼻腔、中耳及副鼻竇,0.63,15,66.47,60.0,1.08
2012年,女,台北市,喉,0.33,7,67.29,68.0,0.5
2012年,女,台北市,肺、支氣管及氣管,29.1,666,66.58,67.0,47.99
2012年,女,台北市,胸膜,0.16,3,53.67,53.0,0.22
2012年,女,台北市,胸腺、心臟與中隔,0.61,13,64.85,66.0,0.94
2012年,女,台北市,骨、關節及關節軟骨,0.38,7,50.86,55.0,0.5
2012年,女,台北市,結締組織、皮下組織及其他軟組織,1.08,20,58.25,63.0,1.44
2012年,女,台北市,皮膚,5.14,119,68.69,71.0,8.57
2012年,女,台北市,女性乳房,79.42,1634,55.38,54.0,117.73
2012年,女,台北市,子宮,0.14,2,37.0,37.0,0.14
2012年,女,台北市,子宮頸,8.73,180,57.16,55.5,12.97
2012年,女,台北市,子宮體,13.43,280,55.11,55.0,20.17
2012年,女,台北市,卵巢、輸卵管及寬韌帶,8.82,169,52.79,52.0,12.18
2012年,女,台北市,其他女性生殖器官,1.06,26,68.5,68.0,1.87
2012年,女,台北市,膀胱,2.99,72,73.6,76.0,5.19
2012年,女,台北市,腎,2.57,55,61.98,61.0,3.96
2012年,女,台北市,腎盂及其他泌尿系統,3.21,75,70.61,73.0,5.4
2012年,女,台北市,眼及淚腺,0.63,8,33.63,36.0,0.58
2012年,女,台北市,腦,2.0,37,55.59,58.0,2.67
2012年,女,台北市,其他神經系統,0.15,4,69.5,66.0,0.29
2012年,女,台北市,甲狀腺,19.55,355,49.23,49.0,25.58
2012年,女,台北市,其他內分泌腺,0.58,7,31.71,30.0,0.5
2012年,女,台北市,其他分界不明的部位,0.09,2,58.0,58.0,0.14
2012年,女,台北市,不明原發部位,2.68,61,67.49,71.0,4.4
2012年,女,台北市,何杰金氏淋巴瘤,0.73,10,38.2,34.5,0.72
2012年,女,台北市,白血病,6.32,114,57.19,61.0,8.21
2012年,女,台北市,非何杰金氏淋巴瘤,7.45,164,63.32,63.0,11.82
2012年,女,台北市,漿細胞瘤,0.91,21,69.14,73.0,1.51
2012年,女,台北市,全癌症,274.68,5872,61.07,61.0,423.1
2013年,男,台北市,口腔、口咽及下咽,24.06,455,58.33,57.0,35.27
2013年,男,台北市,主唾液腺,1.25,21,55.38,59.0,1.63
2013年,男,台北市,鼻咽,6.25,108,51.52,52.0,8.37
2013年,男,台北市,食道,7.55,152,62.43,60.0,11.78
2013年,男,台北市,胃,14.23,312,71.63,73.0,24.19
2013年,男,台北市,小腸,1.31,26,68.46,69.5,2.02
2013年,男,台北市,結直腸,49.42,1011,67.8,68.0,78.38
2013年,男,台北市,肝及肝內膽管,34.82,696,65.01,64.0,53.96
2013年,男,台北市,膽囊及肝外膽管,2.65,57,70.32,72.0,4.42
2013年,男,台北市,胰,7.03,151,70.56,71.0,11.71
2013年,男,台北市,後腹膜腔及腹膜,0.48,9,59.89,64.0,0.7
2013年,男,台北市,消化器官其他分界不明部位,0.02,1,92.0,92.0,0.08
2013年,男,台北市,鼻腔、中耳及副鼻竇,1.06,21,64.62,65.0,1.63
2013年,男,台北市,喉,2.93,59,64.2,63.0,4.57
2013年,男,台北市,肺、支氣管及氣管,39.31,836,69.4,70.0,64.81
2013年,男,台北市,胸膜,0.42,7,61.57,69.0,0.54
2013年,男,台北市,胸腺、心臟與中隔,1.61,28,55.79,54.0,2.17
2013年,男,台北市,骨、關節及關節軟骨,0.84,12,45.92,54.5,0.93
2013年,男,台北市,結締組織、皮下組織及其他軟組織,2.32,39,55.87,58.0,3.02
2013年,男,台北市,皮膚,9.72,201,68.52,71.0,15.58
2013年,男,台北市,男性乳房,0.31,7,67.43,62.0,0.54
2013年,男,台北市,攝護腺,35.43,758,72.78,72.5,58.76
2013年,男,台北市,睪丸,1.42,16,28.19,27.5,1.24
2013年,男,台北市,其他男性生殖器官,0.73,16,74.94,77.5,1.24
2013年,男,台北市,膀胱,8.42,186,71.56,72.0,14.42
2013年,男,台北市,腎,6.95,134,61.98,62.0,10.39
2013年,男,台北市,腎盂及其他泌尿系統,3.45,73,68.49,67.0,5.66
2013年,男,台北市,眼及淚腺,0.16,3,59.67,62.0,0.23
2013年,男,台北市,腦,3.1,49,52.8,55.0,3.8
2013年,男,台北市,其他神經系統,0.21,5,75.8,77.0,0.39
2013年,男,台北市,甲狀腺,6.62,111,50.41,51.0,8.61
2013年,男,台北市,其他內分泌腺,0.28,3,38.67,39.0,0.23
2013年,男,台北市,不明原發部位,1.81,40,70.73,71.0,3.1
2013年,男,台北市,何杰金氏淋巴瘤,1.47,19,41.37,32.0,1.47
2013年,男,台北市,白血病,9.21,163,60.3,65.0,12.64
2013年,男,台北市,非何杰金氏淋巴瘤,9.88,191,63.24,64.0,14.81
2013年,男,台北市,漿細胞瘤,1.15,24,66.75,66.0,1.86
2013年,男,台北市,全癌症,298.39,6011,66.26,66.0,465.99
2013年,女,台北市,口腔、口咽及下咽,2.94,69,64.28,62.0,4.94
2013年,女,台北市,主唾液腺,0.85,16,58.13,59.0,1.15
2013年,女,台北市,鼻咽,2.02,41,54.54,53.0,2.94
2013年,女,台北市,食道,0.49,12,63.83,59.5,0.86
2013年,女,台北市,胃,8.28,197,66.31,65.0,14.11
2013年,女,台北市,小腸,0.77,17,59.53,59.0,1.22
2013年,女,台北市,結直腸,34.89,835,67.54,68.0,59.79
2013年,女,台北市,肝及肝內膽管,12.66,311,70.64,71.0,22.27
2013年,女,台北市,膽囊及肝外膽管,1.78,47,73.77,74.0,3.37
2013年,女,台北市,胰,5.32,131,70.92,72.0,9.38
2013年,女,台北市,後腹膜腔及腹膜,1.66,37,61.32,61.0,2.65
2013年,女,台北市,鼻腔、中耳及副鼻竇,0.43,9,57.67,60.0,0.64
2013年,女,台北市,喉,0.09,2,62.0,62.0,0.14
2013年,女,台北市,肺、支氣管及氣管,28.52,676,67.16,67.0,48.4
2013年,女,台北市,胸膜,0.06,1,37.0,37.0,0.07
2013年,女,台北市,胸腺、心臟與中隔,0.92,19,56.58,59.0,1.36
2013年,女,台北市,骨、關節及關節軟骨,0.73,9,34.22,37.0,0.64
2013年,女,台北市,結締組織、皮下組織及其他軟組織,1.67,34,55.71,57.5,2.43
2013年,女,台北市,皮膚,7.24,180,71.4,72.5,12.89
2013年,女,台北市,女性乳房,81.47,1713,56.55,55.0,122.66
2013年,女,台北市,子宮,0.09,2,63.0,63.0,0.14
2013年,女,台北市,子宮頸,6.94,152,59.88,58.0,10.88
2013年,女,台北市,子宮體,13.9,294,55.8,56.0,21.05
2013年,女,台北市,卵巢、輸卵管及寬韌帶,9.42,191,54.24,53.0,13.68
2013年,女,台北市,其他女性生殖器官,0.69,17,69.65,72.0,1.22
2013年,女,台北市,膀胱,2.41,59,70.51,71.0,4.22
2013年,女,台北市,腎,2.98,64,61.92,63.0,4.58
2013年,女,台北市,腎盂及其他泌尿系統,3.52,86,70.8,72.0,6.16
2013年,女,台北市,眼及淚腺,0.23,3,34.33,41.0,0.21
2013年,女,台北市,腦,2.45,38,47.05,46.5,2.72
2013年,女,台北市,其他神經系統,0.39,9,65.11,68.0,0.64
2013年,女,台北市,甲狀腺,20.01,375,50.11,50.0,26.85
2013年,女,台北市,其他內分泌腺,0.25,2,10.0,10.0,0.14
2013年,女,台北市,其他分界不明的部位,0.03,1,80.0,80.0,0.07
2013年,女,台北市,不明原發部位,1.79,47,73.47,75.0,3.37
2013年,女,台北市,何杰金氏淋巴瘤,0.78,10,34.8,31.5,0.72
2013年,女,台北市,白血病,6.56,123,56.15,59.0,8.81
2013年,女,台北市,非何杰金氏淋巴瘤,6.36,143,62.79,62.0,10.24
2013年,女,台北市,漿細胞瘤,1.36,32,67.09,68.5,2.29
2013年,女,台北市,全癌症,273.62,6014,61.53,61.0,430.63
2014年,男,台北市,口腔、口咽及下咽,22.05,420,58.0,57.0,32.42
2014年,男,台北市,主唾液腺,0.84,15,58.33,59.0,1.16
2014年,男,台北市,鼻咽,6.89,121,52.29,52.0,9.34
2014年,男,台北市,食道,9.02,184,63.61,60.0,14.2
2014年,男,台北市,胃,13.38,304,72.41,73.0,23.46
2014年,男,台北市,小腸,1.09,22,65.05,65.5,1.7
2014年,男,台北市,結直腸,52.49,1091,67.02,66.0,84.21
2014年,男,台北市,肝及肝內膽管,31.68,656,65.55,64.0,50.63
2014年,男,台北市,膽囊及肝外膽管,3.43,78,72.45,72.5,6.02
2014年,男,台北市,胰,7.07,149,69.46,70.0,11.5
2014年,男,台北市,後腹膜腔及腹膜,0.45,9,59.0,57.0,0.69
2014年,男,台北市,鼻腔、中耳及副鼻竇,0.92,16,55.63,51.5,1.23
2014年,男,台北市,喉,3.1,63,65.71,65.0,4.86
2014年,男,台北市,肺、支氣管及氣管,38.91,828,69.5,70.5,63.91
2014年,男,台北市,胸膜,0.3,7,71.29,67.0,0.54
2014年,男,台北市,胸腺、心臟與中隔,1.79,28,53.0,61.0,2.16
2014年,男,台北市,骨、關節及關節軟骨,0.59,8,38.0,36.5,0.62
2014年,男,台北市,結締組織、皮下組織及其他軟組織,1.84,35,63.57,66.0,2.7
2014年,男,台北市,皮膚,9.39,202,70.05,73.5,15.59
2014年,男,台北市,男性乳房,0.3,6,69.17,73.0,0.46
2014年,男,台北市,攝護腺,31.99,699,72.43,72.0,53.95
2014年,男,台北市,睪丸,2.28,29,36.21,32.0,2.24
2014年,男,台北市,其他男性生殖器官,0.8,18,72.56,70.5,1.39
2014年,男,台北市,膀胱,8.2,184,71.32,72.0,14.2
2014年,男,台北市,腎,7.86,152,61.46,59.0,11.73
2014年,男,台北市,腎盂及其他泌尿系統,3.24,70,69.5,70.0,5.4
2014年,男,台北市,眼及淚腺,0.07,1,43.0,43.0,0.08
2014年,男,台北市,腦,2.64,43,53.6,58.0,3.32
2014年,男,台北市,其他神經系統,0.6,9,51.33,53.0,0.69
2014年,男,台北市,甲狀腺,6.86,117,51.15,52.0,9.03
2014年,男,台北市,其他內分泌腺,0.88,11,36.18,40.0,0.85
2014年,男,台北市,其他分界不明的部位,0.12,1,0.0,0.0,0.08
2014年,男,台北市,不明原發部位,2.42,52,70.54,71.0,4.01
2014年,男,台北市,何杰金氏淋巴瘤,1.0,13,40.08,31.0,1.0
2014年,男,台北市,白血病,7.92,152,63.01,65.5,11.73
2014年,男,台北市,非何杰金氏淋巴瘤,8.21,168,67.28,70.5,12.97
2014年,男,台北市,漿細胞瘤,1.57,34,68.53,67.5,2.62
2014年,男,台北市,全癌症,292.78,6007,66.37,66.0,463.63
2014年,女,台北市,口腔、口咽及下咽,3.33,78,64.04,62.5,5.54
2014年,女,台北市,主唾液腺,0.89,17,51.24,54.0,1.21
2014年,女,台北市,鼻咽,2.37,47,51.09,47.0,3.34
2014年,女,台北市,食道,0.93,22,66.55,66.0,1.56
2014年,女,台北市,胃,8.87,219,68.47,71.0,15.57
2014年,女,台北市,小腸,0.85,19,58.79,58.0,1.35
2014年,女,台北市,結直腸,35.92,885,66.98,67.0,62.91
2014年,女,台北市,肝及肝內膽管,12.7,317,70.06,72.0,22.54
2014年,女,台北市,膽囊及肝外膽管,1.93,51,72.14,73.0,3.63
2014年,女,台北市,胰,5.15,133,70.86,71.0,9.45
2014年,女,台北市,後腹膜腔及腹膜,1.03,24,64.79,65.0,1.71
2014年,女,台北市,鼻腔、中耳及副鼻竇,0.62,11,59.36,65.0,0.78
2014年,女,台北市,喉,0.32,9,74.11,76.0,0.64
2014年,女,台北市,肺、支氣管及氣管,31.14,751,66.27,67.0,53.39
2014年,女,台北市,胸膜,0.04,1,60.0,60.0,0.07
2014年,女,台北市,胸腺、心臟與中隔,0.91,17,50.29,52.0,1.21
2014年,女,台北市,骨、關節及關節軟骨,0.77,11,44.45,43.0,0.78
2014年,女,台北市,結締組織、皮下組織及其他軟組織,2.3,41,52.02,53.0,2.91
2014年,女,台北市,皮膚,5.95,156,70.89,73.0,11.09
2014年,女,台北市,女性乳房,83.44,1789,56.65,55.0,127.18
2014年,女,台北市,子宮頸,6.87,149,58.47,58.0,10.59
2014年,女,台北市,子宮體,15.91,346,56.54,57.0,24.6
2014年,女,台北市,卵巢、輸卵管及寬韌帶,11.22,222,54.66,54.0,15.78
2014年,女,台北市,其他女性生殖器官,0.74,17,64.0,61.0,1.21
2014年,女,台北市,膀胱,3.13,79,70.82,74.0,5.62
2014年,女,台北市,腎,2.69,59,61.17,63.0,4.19
2014年,女,台北市,腎盂及其他泌尿系統,3.62,94,71.11,74.0,6.68
2014年,女,台北市,眼及淚腺,0.41,6,43.83,47.0,0.43
2014年,女,台北市,腦,1.8,34,54.0,57.5,2.42
2014年,女,台北市,其他神經系統,0.34,5,51.4,56.0,0.36
2014年,女,台北市,甲狀腺,21.41,407,50.34,50.0,28.93
2014年,女,台北市,其他內分泌腺,0.18,4,61.0,60.5,0.28
2014年,女,台北市,其他分界不明的部位,0.04,1,59.0,59.0,0.07
2014年,女,台北市,不明原發部位,1.44,38,70.82,69.5,2.7
2014年,女,台北市,何杰金氏淋巴瘤,0.79,12,43.25,40.0,0.85
2014年,女,台北市,白血病,7.25,140,58.8,61.5,9.95
2014年,女,台北市,非何杰金氏淋巴瘤,7.18,160,63.46,65.0,11.37
2014年,女,台北市,漿細胞瘤,1.28,33,71.73,72.0,2.35
2014年,女,台北市,全癌症,286.03,6411,61.46,61.0,455.75
2015年,男,台北市,口腔、口咽及下咽,22.87,444,59.01,59.0,34.27
2015年,男,台北市,主唾液腺,0.73,12,50.5,54.5,0.93
2015年,男,台北市,鼻咽,5.65,99,51.2,50.0,7.64
2015年,男,台北市,食道,7.23,151,64.29,62.0,11.66
2015年,男,台北市,胃,13.21,308,72.29,74.5,23.78
2015年,男,台北市,小腸,1.05,24,68.33,66.0,1.85
2015年,男,台北市,結直腸,50.36,1071,67.05,66.0,82.67
2015年,男,台北市,肝及肝內膽管,28.79,590,65.22,65.0,45.54
2015年,男,台北市,膽囊及肝外膽管,2.74,63,72.41,74.0,4.86
2015年,男,台北市,胰,8.73,187,67.79,68.0,14.44
2015年,男,台北市,後腹膜腔及腹膜,0.84,14,54.14,55.0,1.08
2015年,男,台北市,消化器官其他分界不明部位,0.05,1,55.0,55.0,0.08
2015年,男,台北市,鼻腔、中耳及副鼻竇,0.8,14,53.64,59.0,1.08
2015年,男,台北市,喉,2.53,56,69.16,69.0,4.32
2015年,男,台北市,肺、支氣管及氣管,41.77,913,69.22,69.0,70.48
2015年,男,台北市,胸膜,0.33,7,65.86,65.0,0.54
2015年,男,台北市,胸腺、心臟與中隔,1.61,28,54.93,54.5,2.16
2015年,男,台北市,骨、關節及關節軟骨,0.78,10,38.7,37.0,0.77
2015年,男,台北市,結締組織、皮下組織及其他軟組織,2.66,47,58.91,63.0,3.63
2015年,男,台北市,皮膚,8.17,181,70.45,73.0,13.97
2015年,男,台北市,男性乳房,0.23,5,78.8,79.0,0.39
2015年,男,台北市,攝護腺,34.1,759,72.31,72.0,58.59
2015年,男,台北市,睪丸,2.17,26,34.08,30.0,2.01
2015年,男,台北市,其他男性生殖器官,0.87,19,66.47,65.0,1.47
2015年,男,台北市,膀胱,7.87,178,70.61,71.0,13.74
2015年,男,台北市,腎,7.36,145,63.39,64.0,11.19
2015年,男,台北市,腎盂及其他泌尿系統,2.71,61,71.21,70.0,4.71
2015年,男,台北市,眼及淚腺,0.52,5,25.6,7.0,0.39
2015年,男,台北市,腦,3.21,54,55.19,60.0,4.17
2015年,男,台北市,其他神經系統,0.27,3,41.0,20.0,0.23
2015年,男,台北市,甲狀腺,9.39,158,50.7,50.0,12.2
2015年,男,台北市,其他內分泌腺,0.82,9,33.33,38.0,0.69
2015年,男,台北市,其他分界不明的部位,0.05,1,67.0,67.0,0.08
2015年,男,台北市,不明原發部位,1.82,41,71.07,74.0,3.16
2015年,男,台北市,何杰金氏淋巴瘤,1.19,18,46.44,44.5,1.39
2015年,男,台北市,白血病,8.0,149,62.06,65.0,11.5
2015年,男,台北市,非何杰金氏淋巴瘤,9.77,197,64.72,66.0,15.21
2015年,男,台北市,漿細胞瘤,1.65,36,69.25,68.0,2.78
2015年,男,台北市,全癌症,293.33,6092,66.22,67.0,470.26
2015年,女,台北市,口腔、口咽及下咽,3.18,78,65.24,65.5,5.53
2015年,女,台北市,主唾液腺,0.84,18,56.06,57.5,1.28
2015年,女,台北市,鼻咽,1.38,29,55.9,56.0,2.06
2015年,女,台北市,食道,0.95,23,63.35,59.0,1.63
2015年,女,台北市,胃,8.34,207,67.25,70.0,14.69
2015年,女,台北市,小腸,0.85,21,65.24,66.0,1.49
2015年,女,台北市,結直腸,35.1,887,67.43,68.0,62.94
2015年,女,台北市,肝及肝內膽管,12.33,322,70.34,72.0,22.85
2015年,女,台北市,膽囊及肝外膽管,2.52,68,72.59,73.0,4.82
2015年,女,台北市,胰,5.56,153,71.88,73.0,10.86
2015年,女,台北市,後腹膜腔及腹膜,1.26,30,67.83,69.5,2.13
2015年,女,台北市,消化器官其他分界不明部位,0.09,2,64.0,64.0,0.14
2015年,女,台北市,鼻腔、中耳及副鼻竇,0.28,9,75.33,82.0,0.64
2015年,女,台北市,肺、支氣管及氣管,32.57,814,65.74,64.0,57.76
2015年,女,台北市,胸膜,0.12,3,61.0,62.0,0.21
2015年,女,台北市,胸腺、心臟與中隔,1.88,34,51.82,53.0,2.41
2015年,女,台北市,骨、關節及關節軟骨,0.51,5,25.6,18.0,0.35
2015年,女,台北市,結締組織、皮下組織及其他軟組織,1.88,35,53.91,60.0,2.48
2015年,女,台北市,皮膚,7.49,196,70.08,73.0,13.91
2015年,女,台北市,女性乳房,89.37,1943,57.01,56.0,137.87
2015年,女,台北市,子宮頸,7.79,169,57.99,57.0,11.99
2015年,女,台北市,子宮體,15.0,334,57.55,58.0,23.7
2015年,女,台北市,卵巢、輸卵管及寬韌帶,10.16,212,54.99,55.0,15.04
2015年,女,台北市,其他女性生殖器官,1.2,31,69.97,74.0,2.2
2015年,女,台北市,膀胱,2.62,73,73.11,76.0,5.18
2015年,女,台北市,腎,4.16,95,63.65,65.0,6.74
2015年,女,台北市,腎盂及其他泌尿系統,3.27,91,74.31,76.0,6.46
2015年,女,台北市,眼及淚腺,0.41,5,23.6,36.0,0.35
2015年,女,台北市,腦,2.5,45,52.18,56.0,3.19
2015年,女,台北市,其他神經系統,0.34,5,37.0,42.0,0.35
2015年,女,台北市,甲狀腺,22.55,433,50.79,51.0,30.72
2015年,女,台北市,其他內分泌腺,0.35,6,49.0,57.0,0.43
2015年,女,台北市,其他分界不明的部位,0.08,2,77.0,77.0,0.14
2015年,女,台北市,不明原發部位,1.46,40,74.63,75.5,2.84
2015年,女,台北市,何杰金氏淋巴瘤,1.38,20,39.8,34.5,1.42
2015年,女,台北市,白血病,5.39,113,61.73,66.0,8.02
2015年,女,台北市,非何杰金氏淋巴瘤,8.12,185,63.17,65.0,13.13
2015年,女,台北市,漿細胞瘤,1.4,33,65.76,69.0,2.34
2015年,女,台北市,全癌症,295.31,6782,61.81,62.0,481.22
2016年,男,台北市,口腔、口咽及下咽,20.68,405,59.47,58.0,31.41
2016年,男,台北市,主唾液腺,1.26,24,59.46,56.5,1.86
2016年,男,台北市,鼻咽,5.05,90,53.24,53.0,6.98
2016年,男,台北市,食道,7.37,151,61.28,59.0,11.71
2016年,男,台北市,胃,12.16,294,72.25,72.5,22.8
2016年,男,台北市,小腸,1.34,29,65.1,66.0,2.25
2016年,男,台北市,結直腸,47.83,1039,67.44,67.0,80.57
2016年,男,台北市,肝及肝內膽管,28.48,597,65.01,65.0,46.3
2016年,男,台北市,膽囊及肝外膽管,3.5,80,71.26,72.0,6.2
2016年,男,台北市,胰,6.9,147,66.82,66.0,11.4
2016年,男,台北市,後腹膜腔及腹膜,0.52,9,53.67,56.0,0.7
2016年,男,台北市,鼻腔、中耳及副鼻竇,1.1,21,57.76,56.0,1.63
2016年,男,台北市,喉,3.18,66,64.65,63.0,5.12
2016年,男,台北市,肺、支氣管及氣管,41.5,912,69.66,70.0,70.72
2016年,男,台北市,胸膜,0.21,5,69.2,67.0,0.39
2016年,男,台北市,胸腺、心臟與中隔,1.91,34,59.79,61.5,2.64
2016年,男,台北市,骨、關節及關節軟骨,0.75,8,28.5,22.5,0.62
2016年,男,台北市,結締組織、皮下組織及其他軟組織,2.61,46,56.59,61.5,3.57
2016年,男,台北市,皮膚,10.61,234,68.91,70.0,18.15
2016年,男,台北市,男性乳房,0.67,12,58.92,65.0,0.93
2016年,男,台北市,攝護腺,34.08,779,72.97,73.0,60.41
2016年,男,台北市,睪丸,2.22,26,31.65,31.0,2.02
2016年,男,台北市,其他男性生殖器官,1.03,21,67.33,71.0,1.63
2016年,男,台北市,膀胱,8.16,194,72.1,73.0,15.04
2016年,男,台北市,腎,6.15,129,62.81,63.0,10.0
2016年,男,台北市,腎盂及其他泌尿系統,3.47,79,72.49,73.0,6.13
2016年,男,台北市,腦,2.59,45,56.16,60.0,3.49
2016年,男,台北市,其他神經系統,0.35,7,63.14,65.0,0.54
2016年,男,台北市,甲狀腺,9.26,162,51.55,51.5,12.56
2016年,男,台北市,其他內分泌腺,0.09,2,60.5,60.5,0.16
2016年,男,台北市,不明原發部位,2.85,62,65.81,64.0,4.81
2016年,男,台北市,何杰金氏淋巴瘤,1.11,16,50.13,52.5,1.24
2016年,男,台北市,白血病,8.72,163,60.83,63.0,12.64
2016年,男,台北市,非何杰金氏淋巴瘤,9.7,201,65.09,66.0,15.59
