,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'F,'FH, 心臟科類, 'GEH, 'FHGEH, 人工血管(e-PTFE/肝素塗層), 具肝素塗層EPTFE血管/直型內徑<=10MM，80-89CM附可移取環, FHGEH6608NGX," “戈爾”普羅帕騰血管移植物-具肝素塗層(可移除環;L:80CM)""GORE"" PROPATEN VASCULAR GRAFT - WITH HEPARIN BIOACTIVE SURFACE - THIN WALL REMOVABLE RINGS 6:8MMXx80cm", “戈爾”普羅帕騰血管移植物-具肝素塗層(可移除環;L:80cm)," ""GORE"" PROPATEN Vascular Graft - with Heparin Bioactive Surface - Thin Wall Removable Rings 6:8mmx80cm", 'HT066080W;HT076080W;HT087080W, 條,68000, , 114/05/01, 114/05/01,N,A206-3, 999/12/31, 戈爾,衛部醫器輸字第029690號,  , , ,
'F,'FH, 心臟科類, 'GEH, 'FHGEH, 人工血管(e-PTFE/肝素塗層), 三層/具肝素塗層EPTFE血管/直型內徑<=10MM，20~29CM, FHGEHA0502GX," “戈爾”愛可塞爾血管移植物-3層/20CM(5MM*20CM ; 6MM*20CM)""GORE"" ACUSEAL VASCULAR GRAFT-5MMX20CM ; 6MMX20CM", “戈爾”愛可塞爾血管移植物-3層/20cm(5MM*20CM ; 6MM*20CM)," ""GORE"" ACUSEAL Vascular Graft-5mmx20cm ; 6mmx20cm", 'ECH050020W;ECH060020W, 條,33071, , 114/05/01, 114/05/01,N,無, 999/12/31, 戈爾,衛部醫器輸字第033868號,  , , ,
'F,'FH, 心臟科類, 'GEH, 'FHGEH, 人工血管(e-PTFE/肝素塗層), 三層/具肝素塗層EPTFE血管/直型內徑<=10MM，40-49CM, FHGEHA0604GX," “戈爾”愛可塞爾血管移植物-3層/40CM(6MM*40CM)""GORE"" ACUSEAL VASCULAR GRAFT-6MMX40CM", “戈爾”愛可塞爾血管移植物-3層/40cm(6MM*40CM)," ""GORE"" ACUSEAL Vascular Graft-6mmx40cm", 'ECH060040W, 條,54750, , 114/05/01, 114/05/01,N,無, 999/12/31, 戈爾,衛部醫器輸字第033868號,  , , ,
'F,'FH, 心臟科類, 'GES, 'FHGES, 特殊功能人工血管, 特殊功能人工血管組-整組含靜脈流出組件及EPTFE動脈人工血管組件, FHGESGRAFTMR, “美瑞特”英雄人工血管-含靜脈流出組件及無肝素塗層之EPTFE人工血管組“MERIT” HERO GRAFT, “美瑞特”英雄人工血管-含靜脈流出組件及無肝素塗層之ePTFE人工血管組, “Merit” HeRO Graf, 'SUPERHERO+HEROGRAFT, 組,109169, , 114/06/01, 114/06/01,Y,A206-4, 999/12/31, 美瑞特,衛部醫器輸字第030764號,  , , ,
'F,'FH, 心臟科類, 'GES, 'FHGES, 特殊功能人工血管, 特殊功能人工血管組-含靜脈流出組件, FHGESSUPERMR," ""美瑞特""英雄人工血管-含靜脈流出組件“MERIT” HERO GRAF-SUPERHERO"," ""美瑞特""英雄人工血管-含靜脈流出組件", “Merit” HeRO Graf-SuperHeRO, 'SUPERHERO, 條,99412, , 114/06/01, 114/06/01,Y,A206-4, 999/12/31, 美瑞特,衛部醫器輸字第030764號,  , , ,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP0129100SB," ""波士頓科技""艾科雷心臟節律器-單腔MRI""BOSTON SCIENTIFIC""ACCOLADE MRI PACEMAKER-SR"," ""波士頓科技""艾科雷心臟節律器-單腔MRI"," ""Boston Scientific""ACCOLADE MRI Pacemaker-SR", 'L310, 個,79200, , 108/02/01, 106/05/01,N,B101-1, 999/12/31, 波士頓,衛部醫器輸字第029100號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture功能, FHP01ASSRMST," ""聖猷達""安速拉第心臟節律器(單腔)""SJM"" ASSURITY PULSE GENERATOR(SR)"," ""聖猷達""安速拉第心臟節律器(單腔)"," ""SJM"" Assurity Pulse Generator(SR)", 'Assurity PM1240;Assurity+PM1260, 個,60756, , 107/01/01, 104/05/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026582號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01ATSSRM4," ""美敦力""艾視達磁振造影植入式心臟節律器(單腔)""MEDTRONIC""ATTESTA MRI SURESCAN IMPLANTABLE PACEMAKER-SR(MRI)"," ""美敦力""艾視達磁振造影植入式心臟節律器(單腔)"," ""Medtronic""Attesta MRI SureScan Implantable Pacemaker-SR(MRI)", 'ATSR01, 個,79200, , 108/11/01, 108/11/01,N,B101-1, 999/12/31, 美敦力,衛部醫器輸字第032275號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01AVESRBK," ""百多力""艾維安磁振造影植入式心律調節器(單腔)""BIOTRONIK""AMVIA EDGE IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR-T)"," ""百多力""艾維安磁振造影植入式心律調節器(單腔)"," ""BIOTRONIK""Amvia Edge Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR-T)", 'Amvia Edge SR-T, 個,79200, , 114/01/01, 114/01/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第036391號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01AVSSRBK," ""百多力""艾維凱磁振造影植入式心律調節器(單腔)""BIOTRONIK""AMVIA SKY IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR-T)"," ""百多力""艾維凱磁振造影植入式心律調節器(單腔)"," ""BIOTRONIK""Amvia Sky Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR-T)", 'Amvia Sky SR-T, 個,79200, , 114/01/01, 114/01/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第036394號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSI(含VVI，AAI)，有Auto-capture功能, FHP01EC40MST," ""聖猷達""恩德拉第心臟節律器-單腔""SJM""ENDURITY PULSE GENERATOR(SSI)"," ""聖猷達""恩德拉第心臟節律器-單腔"," ""SJM""Endurity Pulse Generator(SSI)", 'Endurity Core PM1140, 個,49714, , 111/02/15, 105/11/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026580號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01EN1SRM4," ""美敦力""安信諾磁振造影植入式心臟節律器-單腔""MEDTRONIC"" ENSURA MRI SURESCAN IMPLANTABLE PACEMAKER-SR"," ""美敦力""安信諾磁振造影植入式心臟節律器-單腔"," ""Medtronic"" Ensura MRI SureScan Implantable Pacemaker-SR", 'EN1SR01, 個,79200, , 108/02/01, 104/09/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第024382號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01EN6SRBK," ""百多力""艾尼傳六磁振造影植入式心律調節器-單腔""BIOTRONIK""ENITRA 6 IMPLANTABL CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR)"," ""百多力""艾尼傳六磁振造影植入式心律調節器-單腔"," ""BIOTRONIK""Enitra 6 Implantabl Cardiac Pacemakers with a conditional intended use in a MRI environment(SR)", 'Enitra 6 SR, 個,0, , 114/04/01, 107/11/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第030908號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01EN6SRBK," ""百多力""艾尼傳六磁振造影植入式心律調節器-單腔""BIOTRONIK""ENITRA 6 IMPLANTABL CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR)"," ""百多力""艾尼傳六磁振造影植入式心律調節器-單腔"," ""BIOTRONIK""Enitra 6 Implantabl Cardiac Pacemakers with a conditional intended use in a MRI environment(SR)", 'Enitra 6 SR, 個,79200, , 108/02/01, 107/11/01,N,B101-1, 114/03/31, 百多力,衛部醫器輸字第030908號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture功能, FHP01ENDRMST," ""聖猷達""恩德拉第心臟節律器(單腔)""SJM"" ENDURITY PULSE GENERATOR(SR)"," ""聖猷達""恩德拉第心臟節律器(單腔)"," ""SJM"" Endurity Pulse Generator(SR)", 'Endurity PM1160, 個,60756, , 107/01/01, 104/05/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026580號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01ENTSRBK," ""百多力""艾尼傳磁振造影植入式心律調節器-單腔""BIOTRONIK""ENITRA 8 IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR)"," ""百多力""艾尼傳磁振造影植入式心律調節器-單腔"," ""BIOTRONIK""Enitra 8 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR)", 'Enitra 8 SR-T, 個,79200, , 108/02/01, 107/03/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第029999號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01EPSRMSB, “波士頓科技”英吉尼心臟節律器-單腔/核磁共振“BOSTON SCIENTIFIC” INGENIO 2 FAMILY PACEMAKER-SR/MRI, “波士頓科技”英吉尼心臟節律器-單腔/核磁共振, “Boston Scientific” Ingenio 2 Family Pacemaker-SR/MRI, 'L-110;210, 個,79200, , 110/03/01, 110/03/01,N,B101-1, 999/12/31, 荷商波士頓,衛部醫器輸字第033951號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture功能, FHP01ETCSRBK," ""百多力""艾緹可磁振造影植入式心律調節器-單腔""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR)"," ""百多力""艾緹可磁振造影植入式心律調節器-單腔"," ""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR)", 'Enticos 4 SR, 個,60756, , 107/01/01, 107/01/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第030000號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSI(含VVI，AAI)，有Auto-capture功能, FHP01ETCSSBK," ""百多力""艾緹可磁振造影植入式心律調節器-單腔""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment (S)"," ""百多力""艾緹可磁振造影植入式心律調節器-單腔"," ""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment (S)", 'Enticos 4 S, 個,0, , 114/04/01, 107/01/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第030000號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSI(含VVI，AAI)，有Auto-capture功能, FHP01ETCSSBK," ""百多力""艾緹可磁振造影植入式心律調節器-單腔""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment (S)"," ""百多力""艾緹可磁振造影植入式心律調節器-單腔"," ""BIOTRONIK"" Enticos 4 Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment (S)", 'Enticos 4 S, 個,49714, , 111/02/15, 107/01/01,N,B101-1, 114/03/31, 百多力,衛部醫器輸字第030000號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01MR62MST," ""聖猷達""恩德拉第心臟節律器-單腔(MRI)""SJM""ENDURITY PULSE GENERATOR(SR-MRI)"," ""聖猷達""恩德拉第心臟節律器-單腔(MRI)"," ""SJM""Endurity Pulse Generator(SR-MRI)", 'Endurity PM1162;Endurity MRI PM1172;(擴增Endurity Core PM1152自1051101生效), 個,79200, , 108/02/01, 105/03/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026580號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01MR62UST," ""聖猷達""恩德拉第心臟節律器-單腔""SJM""ENDURITY PULSE GENERATOR-SR(MRI)"," ""聖猷達""恩德拉第心臟節律器-單腔"," ""SJM""Endurity Pulse Generator-SR(MRI)", 'Endurity PM1162;Endurity MRI PM1172, 個,79200, , 108/02/01, 105/01/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第027440號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01MR72MST," ""聖猷達""安速拉第心臟節律器-單腔""SJM""ASSURITY PULSE GENERATOR(MRI)"," ""聖猷達""安速拉第心臟節律器-單腔"," ""SJM""Assurity Pulse Generator(MRI)", 'Assurity MRI PM1272, 個,79200, , 108/02/01, 105/03/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026582號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01MR72UST," ""聖猷達""安速拉第心臟節律器""SJM""ASSURITY PULSE GENERATOR(MRI)"," ""聖猷達""安速拉第心臟節律器"," ""SJM""Assurity Pulse Generator(MRI)", 'Assurity MRI PM1272, 個,79200, , 108/02/01, 105/01/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第027439號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture功能, FHP01SR01SM4," ""美敦力"" 賽亞心臟節律器""MEDTRONIC"" SENSIA PACEMAKER(VVIR/AAIR)*需檢附心電圖報告專案報備使用"," ""美敦力""賽亞心臟節律器"," ""MEDTRONIC"" SENSIA PACEMAKER", 'SESR01, EA,60756, , 107/01/01, 101/07/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第023214號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01SVRSRBK, “百多力”舒維萊磁振造影植入式心律調節器(單腔)“BIOTRONIK” SOLVIA RISE IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(SR-T), “百多力”舒維萊磁振造影植入式心律調節器(單腔), “BIOTRONIK” Solvia Rise Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(SR-T), 'Solvia Rise SR-T, 個,79200, , 113/09/01, 113/09/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第036393號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01W2SR1M4," ""美敦力""亞士爾磁振造影植入式心臟節律器-單腔""MEDTRONIC""AZURE MRI SURESCAN IMPLANTABLE PACEMAKER-SINGLE CHAMBER"," ""美敦力""亞士爾磁振造影植入式心臟節律器-單腔"," ""Medtronic""Azure MRI SureScan Implantable Pacemaker-Single Chamber", 'W2SR01;【擴增產品型號W3SR01自1140501生效】, 個,79200, , 114/05/01, 107/09/01,N,B101-1, 999/12/31, 美敦力,衛部醫器輸字第030747號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01W2SR1M4," ""美敦力""亞士爾磁振造影植入式心臟節律器-單腔""MEDTRONIC""AZURE MRI SURESCAN IMPLANTABLE PACEMAKER-SINGLE CHAMBER"," ""美敦力""亞士爾磁振造影植入式心臟節律器-單腔"," ""Medtronic""Azure MRI SureScan Implantable Pacemaker-Single Chamber", 'W2SR01;【擴增產品型號W3SR01自1140501生效】, 個,79200, , 108/02/01, 107/09/01,N,B101-1, 114/04/30, 美敦力,衛部醫器輸字第030747號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01X2SR1M4," ""美敦力""亞士卓磁振造影植入式心臟節律器-單腔MRI""MEDTRONIC""ASTRA MRI SURESCAN IMPLANTABLE PACEMAKER-DDDR MRI"," ""美敦力""亞士卓磁振造影植入式心臟節律器-單腔MRI"," ""Medtronic""Astra MRI SureScan Implantable Pacemaker-SR MRI", 'X2SR01, 個,0, , 114/04/01, 107/07/01,N,B101-1, 999/12/31, 美敦力,衛部醫器輸字第030635號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 單腔心律調節器/SSIR(含VVIR，AAIR)，有Auto-capture及核磁共振相容功能, FHP01X2SR1M4," ""美敦力""亞士卓磁振造影植入式心臟節律器-單腔MRI""MEDTRONIC""ASTRA MRI SURESCAN IMPLANTABLE PACEMAKER-DDDR MRI"," ""美敦力""亞士卓磁振造影植入式心臟節律器-單腔MRI"," ""Medtronic""Astra MRI SureScan Implantable Pacemaker-SR MRI", 'X2SR01, 個,79200, , 108/02/01, 107/07/01,N,B101-1, 114/03/31, 美敦力,衛部醫器輸字第030635號,  , , 全額給付,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能), FHP0229100SB," ""波士頓科技""艾科雷心臟節律器-雙腔MRI ""Boston Scientific""ACCOLADE MRI Pacemaker(DDDR-MRI)"," ""波士頓科技""艾科雷心臟節律器-雙腔MRI"," ""Boston Scientific""ACCOLADE MRI Pacemaker(DDDR-MRI)", 'L311;L331, 個,93833, , 106/05/01, 106/05/01,N,B101-1, 999/12/31, 波士頓,衛部醫器輸字第029100號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP0229675SB," ""波士頓科技""艾科雷心臟節律器-雙腔""BOSTON SCIENTIFIC""ACCOLADE PACEMAKER(DDDR)"," ""波士頓科技""艾科雷心臟節律器-雙腔"," ""Boston Scientific""ACCOLADE Pacemaker(DDDR)", 'L301;L321, 個,93833, , 108/10/01, 106/11/01,N,B101-1, 999/12/31, 波士頓,衛部醫器輸字第029675號,  , , 全額給付,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能+其他臨床助益特殊功能), FHP02A3DR1M4," ""美敦力""艾維莎核磁共振植入式心臟節律器 ""MEDTRONIC""ADVISA DR MRI SURESCAN IMPLANTABLE PACEMAKER"," ""美敦力""艾維莎核磁共振植入式心臟節律器"," ""MEDTRONIC""ADVISA DR MRI SURESCAN IMPLANTABLE PACEMAKER", 'A3DR01, 個,93833, , 103/01/01, 101/07/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第023118號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP02ADDRSM4," ""美敦力"" 黛拉心臟節律器(雙腔)""MEDTRONIC"" ADAPTA PACEMAKER-DDDR"," ""美敦力""黛拉心臟節律器(雙腔)"," ""MEDTRONIC""ADAPTA PACEMAKER(DDDR)", 'ADDR01;ADDR03;ADDRS1;ADDRL1(刪除ADDRS1自1121101生效), 個,93833, , 112/11/01, 101/07/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第023295號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP02ASSRMST," ""聖猷達""安速拉第心臟節律器(雙腔)""SJM"" ASSURITY PULSE GENERATOR(DDDR)"," ""聖猷達""安速拉第心臟節律器(雙腔)"," ""SJM"" Assurity Pulse Generator(DDDR)", 'ASSURITY PM2240;ASSURITY+PM2260, 個,93833, , 108/10/01, 104/05/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026582號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP02ASSRUST," ""聖猷達""安速拉第心臟節律器(雙腔)""SJM""ASSURITY PULSE GENERATOR(DDDR)"," ""聖猷達""安速拉第心臟節律器(雙腔)"," ""SJM""Assurity Pulse Generator(DDDR)", 'Assurity PM2240;Assurity+PM2260, 個,0, , 114/04/01, 105/01/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第027439號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP02ASSRUST," ""聖猷達""安速拉第心臟節律器(雙腔)""SJM""ASSURITY PULSE GENERATOR(DDDR)"," ""聖猷達""安速拉第心臟節律器(雙腔)"," ""SJM""Assurity Pulse Generator(DDDR)", 'Assurity PM2240;Assurity+PM2260, 個,93833, , 108/10/01, 105/01/01,N,B101-1, 114/03/31, 雅培,衛部醫器輸字第027439號,  , , 全額給付,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能+其他臨床助益特殊功能), FHP02ATDDRM4," ""美敦力""艾視達磁振造影植入式心臟節律器(雙腔) ""Medtronic""Attesta MRI SureScan Implantable Pacemaker-DDDR+MRI"," ""美敦力""艾視達磁振造影植入式心臟節律器(雙腔)"," ""Medtronic""Attesta MRI SureScan Implantable Pacemaker-DDDR+MRI", 'ATDR-01;L1;S1, 個,93833, , 108/11/01, 108/11/01,N,B101-1, 999/12/31, 美敦力,衛部醫器輸字第032275號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能+其他臨床助益特殊功能), FHP02AVEDRBK," ""百多力""艾維安磁振造影植入式心律調節器(雙腔)""BIOTRONIK""AMVIA EDGE IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(DR-T)"," ""百多力""艾維安磁振造影植入式心律調節器(雙腔)"," ""BIOTRONIK""Amvia Edge Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(DR-T)", 'Amvia Edge DR-T, 個,93833, , 113/09/01, 113/09/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第036391號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能+其他臨床助益特殊功能), FHP02AVSDRBK, “百多力” 艾維凱磁振造影植入式心律調節器(雙腔)“BIOTRONIK” AMVIA SKY IMPLANTABLE CARDIAC PACEMAKERS WITH A CONDITIONAL INTENDED USE IN A MRI ENVIRONMENT(DR-T), “百多力” 艾維凱磁振造影植入式心律調節器(雙腔), “BIOTRONIK” Amvia Sky Implantable Cardiac Pacemakers with a conditional intended use in a MRI environment(DR-T), 'Amvia Sky DR-T, 個,93833, , 113/09/01, 113/09/01,N,B101-1, 999/12/31, 百多力,衛部醫器輸字第036394號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(型號DDD), FHP02DDDADM4, 美敦力黛拉心臟節律器MEDTRONIC ADAPTA PACING GENERATOR*適應症請見備註欄," ""美敦力""黛拉心臟節律系統:心臟節律器"," ""MEDTRONIC""ADAPA PACING SYSTEM:PACING GENERATOR", 'ADD01, EA,0, , 114/04/01, 098/01/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第018079號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(型號DDD), FHP02DDDADM4, 美敦力黛拉心臟節律器MEDTRONIC ADAPTA PACING GENERATOR*適應症請見備註欄," ""美敦力""黛拉心臟節律系統:心臟節律器"," ""MEDTRONIC""ADAPA PACING SYSTEM:PACING GENERATOR", 'ADD01, EA,91732, , 107/01/01, 098/01/01,N,B101-1, 114/03/31, 美敦力,衛署醫器輸字第018079號,  , , 全額給付,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(DDDR), FHP02DDRADM4," ""美敦力""黛拉心臟節律器雙腔MEDTRONIC ADAPTA PACING GENERATOR-(DDDR)"," ""美敦力""黛拉心臟節律系統-雙腔"," ""MEDTRONIC""ADAPA PACING SYSTEM(DDDR)", 'ADDR01;ADDR03;ADDR06;ADDRS1;ADDRL1, 個,93833, , 108/10/01, 097/04/01,N,B101-1, 999/12/31, 美敦力,衛署醫器輸字第018079號,  , , 全額給付,
'F,'FH, 心臟科類, 'P02, 'FHP02, 特殊功能人工心律調節器, 雙腔型人工心律調節器(DDDR+MRI+運動調節功能), FHP02DRMRESB, “波士頓科技”英吉尼心臟節律器-雙腔/核磁共振“BOSTON SCIENTIFIC” INGENIO 2 FAMILY PACEMAKER-PROPONENT DR/MRI/EL, “波士頓科技”英吉尼心臟節律器-雙腔/核磁共振, “Boston Scientific” Ingenio 2 Family Pacemaker-PROPONENT DR/MRI/EL, 'L231, 個,93833, , 110/07/01, 110/07/01,N,B101-1, 999/12/31, 荷商波士頓,衛部醫器輸字第033951號, 特殊功能人工心律調節器, , 自付差額,
'F,'FH, 心臟科類, 'P01, 'FHP01, 人工心律調節器, 雙腔型人工心律調節器(型號DDD), FHP02EC40MST," ""聖猷達""恩德拉第心臟節律器(雙腔)""SJM""ENDURITY PULSE GENERATOR(DDD)"," ""聖猷達""恩德拉第心臟節律器(雙腔)"," ""SJM""Endurity Pulse Generator(DDD)", 'Endurity Core PM2140, 個,91732, , 107/01/01, 105/11/01,N,B101-1, 999/12/31, 雅培,衛部醫器輸字第026580號,  , , 全額給付,
