,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS011VN40Q4, “尼得立斯”藥物準備系統輸液接頭-塑膠三極栓“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE-3WAY STOPCOCK, “尼得立斯”藥物準備系統輸液接頭-塑膠三極栓, “Needleless” Drug Preparation System and Needleless Injection Access Device-3way stopcock, 'IVN401;IVN402;(IVN403自1110901生效);(IVN404自1130301生效), 個,7, , 113/03/01, 111/01/01,N,無, 999/12/31, 尼得立斯,衛部醫器製字第005723號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS013CAPSM8, 3 WAY STOPCOCK," ""邁迪特浦""三方活栓"," ""MEDITOP"" THREE WAY STOPCOCK", 'R1-FL-3CAPS, EA,7, , 112/02/01, 093/07/01,N,無, 999/12/31, 特浦,衛署醫器輸字第010515號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), ACS0168MPATP, PREDURA PRESSURE RESISTAN THREE WAY STOPCOCK 1000PSI," ""特浦""耐壓三方活栓:高壓接頭"," ""TOP""PREDURA PRESSURE RESISTANT THREE-WAY STOPCOCK", '6.8MPA, EA,96.2, , 112/02/01, 095/07/01,N,無, 999/12/31, 特浦,衛署醫器輸字第011274號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS01A010VPW," ""普惠""三通閥""PERFECT""3-WAY STOPCOCK"," ""普惠""三通閥"," ""PERFECT""3-WAY STOPCOCK", 'A01, 個,7, , 112/02/01, 108/09/01,N,無, 999/12/31, 普惠,衛部醫器輸字第032280號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS01AM04L3B," ""康德萊""旋塞閥""KDL""STOPCOCK(45PSI)"," ""康德萊""旋塞閥"," ""KDL""STOPCOCK(45PSI)", 'AM0101:AM0104, 個,7, , 112/02/01, 109/11/01,N,無, 999/12/31, 康翼,衛部醫器陸輸字第000635號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), ACS01AM06H3B," ""康德萊""旋塞閥""KDL""STOPCOCK(1200PSI)"," ""康德萊""旋塞閥"," ""KDL""STOPCOCK(1200PSI)", 'AM0106;AM0109, 個,96.2, , 112/02/01, 109/11/01,N,無, 999/12/31, 康翼,衛部醫器陸輸字第000635號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , MEDIUM PRESSURE STOPCOCK 〉=300-799PSI(接測壓導管或檢查導管), ACS01AM07M3B," ""康德萊""旋塞閥""KDL""STOPCOCK(500PSI)"," ""康德萊""旋塞閥"," ""KDL""STOPCOCK(500PSI)", 'AM0107;AM0108;AM0110, 個,34, , 109/11/01, 109/11/01,N,無, 999/12/31, 康翼,衛部醫器陸輸字第000635號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS01D010NPW, DISPOSABLE INFUSION SET 3 WAY STOPCOCK," ""普惠""輸液套:三路活塞"," ""PERFECT"" DISPOSABLE INFUSION SET:3 WAY STOPCOCK", 'D01;D02;D03;D04, EA,7, , 112/02/01, 094/04/01,N,無, 999/12/31, 普惠,衛署醫器製字第000505號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), ACS01H3SNCMR, MARQUIES SERIES STOPCOCKS 1050PSI," ""美瑞特""瑪奎斯系列多路活塞:高壓接頭"," ""MERIT""MARQUIS SERIES STOPCOCKS:HIGH PRESSURE", 'H3SNC, EA,96.2, , 112/02/01, 099/10/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010266號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , MEDIUM PRESSURE STOPCOCK 〉=300-799PSI(接測壓導管或檢查導管), ACS01M3SNCMR, MARQUIS SERIES STOPCOCK 500PSI," ""美瑞特""瑪奎斯系列多路活塞:中壓接頭"," ""MERIT""MARQUIS SERIES STOPCOCKS:MEDIUM PRESSURE STOPCOCK", 'M3SNC;M3RRC;M4SNC, EA,34, , 094/04/01, 093/01/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010266號,  , , ,
